trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.73, 'e': 0.9999999999999998}",20,0,2.8917063937542586,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
2,False,"{'a': 0.73, 'e': 0.999999999999994}",20,15,7.499514798610318,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,False,"{'a': 0.73, 'e': 0.9999999999998649}",30,8,-18.044394861188206,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
4,False,"{'a': 0.73, 'e': 0.9999999999977336}",20,12,-55.78326774345172,"{0: 5, 1: 1, 2: 0, 3: 1, 4: 1}",1
5,False,"{'a': 0.73, 'e': 0.9999999999709275}",30,19,-3.2313659253414877,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
6,False,"{'a': 0.73, 'e': 0.9999999997074733}",35,11,39.45485991273953,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,False,"{'a': 0.73, 'e': 0.9999999976371851}",20,0,-29.203824346334503,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
8,False,"{'a': 0.73, 'e': 0.99999998435569}",25,0,-33.948114318946736,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
9,False,"{'a': 0.73, 'e': 0.9999999134710148}",20,3,14.339460939558835,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,False,"{'a': 0.73, 'e': 0.9999995932949661}",35,17,28.3626320986845,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.73, 'e': 0.9999983501783188}",25,9,26.920244986871197,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.73, 'e': 0.9999941423875931}",20,6,25.968818274496407,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.73, 'e': 0.999981565224815}",20,12,11.023914324801488,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.73, 'e': 0.9999479798054303}",25,11,24.94306769018933,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.73, 'e': 0.9998670059816994}",25,8,28.087003771566113,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.73, 'e': 0.9996890444928314}",25,17,16.747037637651896,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.73, 'e': 0.9993294021715181}",25,4,33.53983909600221,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.73, 'e': 0.9986557990462025}",30,20,18.89095160934589,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.73, 'e': 0.9974781052344737}",25,13,19.17727140188414,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.73, 'e': 0.9955435880376043}",25,7,28.745472274155336,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.73, 'e': 0.9925404271873003}",30,9,34.14812066136508,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.73, 'e': 0.9881108176021713}",20,10,16.557838713593096,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.73, 'e': 0.9818730182975802}",30,7,30.67431971809806,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.73, 'e': 0.9734498035367685}",20,14,10.484797676657976,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
